leads_tempo_desde_evento_anterior_mean,leads_tempo_desde_evento_anterior_std,leads_tempo_desde_evento_anterior_75,leads_tempo_desde_evento_anterior_max,leads_score_midia_mean,leads_score_midia_std,leads_score_midia_min,leads_score_midia_25,leads_score_midia_50,leads_score_midia_75,leads_score_midia_max,leads_vg_mean,leads_vg_std,leads_vg_min,leads_vg_25,leads_vg_50,leads_vg_75,leads_vg_max,leads_m2_anuncio_mean,leads_m2_anuncio_std,leads_m2_anuncio_25,leads_m2_anuncio_50,leads_m2_anuncio_75,leads_m2_anuncio_max,leads_in_dorm_mean,leads_in_dorm_75,leads_in_dorm_max,leads_dl_area_total_mean,leads_dl_area_total_std,leads_dl_area_total_50,leads_dl_area_total_75,leads_dl_area_total_max,leads_in_garagens_totais_mean,leads_in_garagens_totais_25,leads_in_garagens_totais_50,leads_in_garagens_totais_75,leads_in_garagens_totais_max,leads_in_garagens_mean,leads_in_garagens_max,leads_evento_quinta,leads_opercao_locacao,leads_finalidade_residencial,leads_tipo_ocupacao_desocupado,leads_tipo_ocupacao_nao_informado,leads_tx_estado_count,leads_imobiliaria_count,leads_qtd_pesquisas,tempo_min_lead_ate_hj,tempo_max_lead_ate_hj
59.67,132.62,19.0,330.0,13010.75,4666.27,6446.0,13209.0,15214.0,17174.0,17174.0,1900.0,1368.7,0.0,1800.0,2900.0,2900.0,2900.0,23.44,15.66,30.52632,30.52632,32.72727,32.72727272727273,0.75,3.0,3.0,74.72,51.71,109.43,109.43,109.43,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,3.0,3.0,3.0,0.0,1.0,4.0,6.0,378.0,17.0
112.53,400.81,17.0,1561.0,12543.83,13877.46,129.0,1554.0,13209.0,17174.0,37444.0,428800.0,79165.65,300000.0,404000.0,480000.0,480000.0,480000.0,5125.0,3434.66,3125.0,7500.0,7500.0,7500.0,1.0,2.0,3.0,38.4,35.05,64.0,64.0,64.0,0.25,0.0,0.0,1.0,1.0,0.2,1.0,2.0,0.0,5.0,1.0,0.0,1.0,13.0,15.0,1714.0,17.0
0.62,1.71,0.0,6.0,1780.5,320.32,1554.0,1554.0,2007.0,2007.0,2007.0,471615.38,118378.3,160000.0,427000.0,499000.0,499000.0,650000.0,4413.77,1837.59,3265.30612,4744.44444,5777.46903,6316.455696202532,1.31,3.0,3.0,302.23,449.1,180.0,180.0,1750.0,2.17,2.0,2.0,2.0,8.0,1.46,8.0,0.0,0.0,13.0,4.0,3.0,1.0,6.0,13.0,29.0,17.0
68.8,145.06,16.0,328.0,8319.67,8016.73,1554.0,1554.0,6231.0,17174.0,17174.0,2225.0,1484.08,0.0,2900.0,3000.0,3000.0,3000.0,17.4,14.82,16.66667,16.66667,36.25,36.25,1.0,2.0,2.0,97.5,66.52,140.0,140.0,140.0,0.75,0.0,1.0,2.0,2.0,0.25,1.0,0.0,3.0,4.0,2.0,2.0,1.0,4.0,5.0,362.0,17.0
65.13,172.43,21.0,722.0,9705.25,10837.37,833.0,2007.0,5753.0,17174.0,32313.0,57542.84,142407.86,0.0,1000.0,1200.0,1650.0,490000.0,456.31,1071.32,12.0,16.0,19.0,3316.6666666666665,0.79,2.0,3.0,119.47,122.53,100.0,150.0,500.0,1.14,0.0,1.0,2.0,3.0,0.63,3.0,2.0,16.0,19.0,8.0,5.0,1.0,10.0,25.0,1524.0,17.0
41.5,78.81,60.0,250.0,12970.5,14936.12,841.0,1554.0,17174.0,32313.0,32313.0,2114.29,1129.05,0.0,1400.0,2200.0,3000.0,3300.0,13.2,6.61,12.5,14.0,16.15385,22.0,0.0,0.0,0.0,187.31,115.69,170.0,300.0,360.0,4.0,1.0,4.0,5.0,10.0,0.71,5.0,2.0,6.0,3.0,4.0,3.0,1.0,6.0,10.0,437.0,17.0
103.53,285.08,93.0,1119.0,9288.29,11509.19,1554.0,2007.0,3714.0,17174.0,32313.0,514785.0,306118.39,1150.0,475000.0,600000.0,792000.0,890000.0,1771.02,2840.9,0.0,22.69588,5708.42153,5975.554549569942,0.5,0.0,3.0,281.4,164.29,336.0,390.0,525.0,0.89,0.0,1.0,2.0,2.0,0.1,1.0,2.0,2.0,10.0,4.0,3.0,2.0,9.0,15.0,1578.0,17.0
22.33,26.08,51.0,51.0,32313.0,9489.073329383884,32313.0,32313.0,32313.0,32313.0,32313.0,875.0,165.83,650.0,850.0,1000.0,1000.0,1000.0,15.82,10.39,8.33333,16.25,30.35714,30.357142857142858,2.0,4.0,4.0,67.0,62.26,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,1.0,1.0,4.0,85.0,17.0
7.0,9.9,21.0,21.0,17174.0,9489.073329383884,17174.0,17174.0,17174.0,17174.0,17174.0,106000.0,0.0,106000.0,106000.0,106000.0,106000.0,106000.0,1766.67,0.0,1766.66667,1766.66667,1766.66667,1766.6666666666667,0.5,2.0,2.0,50000.0,0.0,50000.0,50000.0,50000.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.0,4.0,0.0,4.0,1.0,1.0,4.0,46.0,17.0
9.75,22.14,2.0,61.0,16827.0,11579.19,4612.0,13209.0,17174.0,32313.0,32313.0,31624.9,63051.09,0.0,1700.0,2201.0,2500.0,151249.0,586.19,1202.29,8.8275,27.5125,29.03226,2867.2796208530804,0.7,2.0,3.0,62.87,118.49,0.0,125.0,360.0,1.5,1.0,1.0,2.0,3.0,0.6,3.0,1.0,5.0,10.0,3.0,5.0,1.0,6.0,12.0,136.0,17.0
